brand,price,year,currency,country,zip_code,odometer,service_history,doy,moy
Ford Transit,25895,2016,AUD,australia,4810,77970,y,31,6
Dodge Ram Promaster,39866,2019,AUD,australia,5000,57881,y,236,5
Volkswagen California,36012,2025,AUD,australia,7250,58308,y,212,13
Fiat Ducato,34582,2016,AUD,australia,4350,67738,n,253,2
Volkswagen Westfalia,51891,2017,AUD,australia,4700,96831,y,28,8
Volkswagen Westfalia,29771,2015,AUD,australia,3220,87683,y,193,10
Fiat Ducato,44566,2018,AUD,australia,3500,93965,n,329,6
Mercedes-Benz Sprinter,50597,2022,AUD,australia,2500,98866,n,184,3
Toyota Hiace,33210,2021,AUD,australia,2640,68017,n,293,12
Toyota Hiace,20143,2024,AUD,australia,3630,50070,n,239,7
Nissan NV200,39390,2019,AUD,australia,6230,95951,n,360,10
Hymer Aktiv,42168,2015,AUD,australia,6000,73562,n,75,12
Mercedes-Benz Sprinter,24275,2017,AUD,australia,4700,79107,y,183,3
Fiat Ducato,49481,2024,AUD,australia,2450,98508,n,54,7
Volkswagen California,34451,2025,AUD,australia,2640,92923,y,230,6
Ford Transit,14117,2015,AUD,australia,4000,86132,y,39,1
Hymer Aktiv,27711,2021,AUD,australia,3500,50373,n,119,9
Mercedes-Benz Sprinter,35584,2021,AUD,australia,4551,68898,n,193,6
Toyota Hiace,42346,2016,AUD,australia,3000,51478,n,247,11
Hymer Aktiv,29575,2022,AUD,australia,3000,75740,n,311,13
Nissan NV200,34594,2022,AUD,australia,3630,82718,n,146,13
Chevrolet Express,11708,2015,AUD,australia,2000,93682,n,211,2
Chevrolet Express,14067,2020,AUD,australia,4350,91444,y,63,3
Nissan NV200,13205,2018,AUD,australia,4810,81136,n,333,2
Chevrolet Express,56623,2024,AUD,australia,4551,73155,n,337,1
Volkswagen Westfalia,58885,2020,AUD,australia,6230,92867,y,87,5
Toyota Hiace,18634,2025,AUD,australia,2600,97378,n,145,2
Toyota Hiace,46507,2024,AUD,australia,6000,99403,n,252,9
Volkswagen Westfalia,44880,2017,AUD,australia,6000,58696,n,159,8
Hymer Aktiv,20817,2024,AUD,australia,2300,94414,y,327,8
Volkswagen Westfalia,12367,2021,AUD,australia,6000,77248,y,6,4
Chevrolet Express,31489,2015,AUD,australia,4700,61831,n,202,3
Ford Transit,13146,2019,AUD,australia,4870,83271,n,314,3
Chevrolet Express,50483,2015,AUD,australia,3550,62294,n,353,7
Nissan NV200,54605,2022,AUD,australia,4670,85302,y,156,3
Volkswagen Westfalia,20797,2017,AUD,australia,4217,78875,n,224,7
Mercedes-Benz Sprinter,40222,2024,AUD,australia,2450,69167,y,227,5
Mercedes-Benz Sprinter,34902,2019,AUD,australia,6000,81449,y,307,8
Chevrolet Express,31495,2016,AUD,australia,3220,80530,y,330,9
Nissan NV200,37295,2025,AUD,australia,3500,86558,n,84,8
Mercedes-Benz Sprinter,58097,2023,AUD,australia,3630,58281,y,258,5
Volkswagen Westfalia,49687,2025,AUD,australia,2650,72822,n,276,9
Nissan NV200,51832,2019,AUD,australia,4655,97450,y,359,12
Ford Transit,22113,2023,AUD,australia,7250,53338,n,330,3
Dodge Ram Promaster,21744,2023,AUD,australia,4810,62983,y,74,10
Fiat Ducato,45756,2019,AUD,australia,3000,91043,y,239,12
Dodge Ram Promaster,29036,2019,AUD,australia,4700,86124,y,175,2
Hymer Aktiv,36450,2020,AUD,australia,2000,57564,n,127,9
Volkswagen Westfalia,35552,2017,AUD,australia,3220,85702,n,217,2
Volkswagen California,58129,2017,AUD,australia,2830,80659,y,30,3
Ford Transit,13959,2015,AUD,australia,3220,68288,n,63,4
Mercedes-Benz Sprinter,27643,2021,AUD,australia,2640,93510,n,41,10
Chevrolet Express,53663,2017,AUD,australia,4000,68055,y,240,2
Dodge Ram Promaster,13041,2021,AUD,australia,4870,83881,y,117,3
Ford Transit,23821,2019,AUD,australia,4551,99521,y,58,3
Nissan NV200,29108,2022,AUD,australia,2650,90164,y,129,9
Toyota Hiace,20857,2021,AUD,australia,3000,70564,y,126,4
Nissan NV200,16796,2015,AUD,australia,4217,71792,y,220,6
Toyota Hiace,35166,2024,AUD,australia,2650,77830,n,8,2
Fiat Ducato,13890,2020,AUD,australia,3630,77760,n,269,4
Chevrolet Express,43957,2017,AUD,australia,4670,91958,n,123,3
Nissan NV200,13001,2025,AUD,australia,2450,63657,n,79,11
Fiat Ducato,40482,2018,AUD,australia,2300,76218,n,212,9
Mercedes-Benz Sprinter,12205,2016,AUD,australia,2600,85333,y,327,3
Mercedes-Benz Sprinter,21340,2022,AUD,australia,3550,73059,n,20,8
Hymer Aktiv,17587,2023,AUD,australia,4551,91297,y,31,8
Volkswagen California,44587,2017,AUD,australia,2500,96306,y,343,1
Volkswagen California,19010,2020,AUD,australia,4551,84808,y,215,10
Volkswagen California,59223,2019,AUD,australia,3350,76582,n,183,1
Chevrolet Express,54030,2022,AUD,australia,2500,78519,y,350,6
Toyota Hiace,12305,2023,AUD,australia,4217,58497,y,280,8
Hymer Aktiv,10719,2017,AUD,australia,6230,66480,n,3,13
Volkswagen Westfalia,53966,2022,AUD,australia,3500,53835,y,262,13
Fiat Ducato,42032,2020,AUD,australia,4670,50065,n,126,1
Chevrolet Express,27534,2023,AUD,australia,7000,71030,y,325,6
Fiat Ducato,13633,2015,AUD,australia,3550,79325,y,108,11
Chevrolet Express,58435,2022,AUD,australia,6000,77197,n,269,2
Ford Transit,21636,2020,AUD,australia,4655,79901,y,86,7
Hymer Aktiv,21740,2021,AUD,australia,3000,85631,n,334,2
Ford Transit,36445,2024,AUD,australia,2640,64036,y,285,3
Chevrolet Express,38335,2021,AUD,australia,4870,99022,n,139,4
Ford Transit,35150,2016,AUD,australia,3550,73940,n,171,2
Toyota Hiace,16759,2025,AUD,australia,2000,71078,n,157,13
Mercedes-Benz Sprinter,40608,2020,AUD,australia,4551,83860,y,56,12
Chevrolet Express,50040,2023,AUD,australia,4740,95707,n,256,9
Hymer Aktiv,10889,2015,AUD,australia,2450,77939,n,16,4
Dodge Ram Promaster,23534,2017,AUD,australia,3630,88591,y,326,3
Dodge Ram Promaster,26374,2022,AUD,australia,3500,65875,n,189,4
Ford Transit,41892,2019,AUD,australia,3630,94570,y,140,7
Volkswagen Westfalia,32404,2023,AUD,australia,2300,80433,n,142,5
Volkswagen California,39945,2024,AUD,australia,4217,83971,n,171,11
Nissan NV200,50062,2018,AUD,australia,4670,85177,y,260,9
Mercedes-Benz Sprinter,17991,2023,AUD,australia,7000,59121,n,330,8
Chevrolet Express,35946,2021,AUD,australia,7250,98988,y,335,11
Dodge Ram Promaster,58533,2024,AUD,australia,2830,73042,y,226,8
Fiat Ducato,51429,2023,AUD,australia,4870,67619,n,279,6
Toyota Hiace,13719,2020,AUD,australia,4655,81774,n,221,12
Hymer Aktiv,37959,2025,AUD,australia,2640,76816,n,78,7
Volkswagen Westfalia,45770,2016,AUD,australia,3500,98223,y,202,11
Volkswagen California,25251,2017,AUD,australia,2000,68692,n,34,5
Chevrolet Express,53531,2016,AUD,australia,3220,88796,n,275,8
Toyota Hiace,27827,2021,AUD,australia,2450,62403,n,155,1
Dodge Ram Promaster,58447,2017,AUD,australia,4740,79314,y,102,13
Nissan NV200,24926,2023,AUD,australia,5000,77813,n,93,10
Dodge Ram Promaster,11939,2023,AUD,australia,2830,83498,y,149,1
Hymer Aktiv,36697,2018,AUD,australia,6230,80508,y,193,4
Volkswagen California,52860,2015,AUD,australia,4655,92559,y,282,9
Dodge Ram Promaster,32827,2025,AUD,australia,2640,84507,y,213,10
Ford Transit,19921,2020,AUD,australia,3350,50092,n,305,1
Volkswagen Westfalia,20937,2024,AUD,australia,2600,90950,y,26,2
Mercedes-Benz Sprinter,58687,2021,AUD,australia,3500,59999,y,282,7
Ford Transit,56552,2021,AUD,australia,4000,54613,n,149,13
Volkswagen Westfalia,36838,2018,AUD,australia,3220,80428,y,232,10
Volkswagen California,32616,2015,AUD,australia,4655,78592,n,308,5
Volkswagen California,59393,2019,AUD,australia,2600,64856,y,334,4
Ford Transit,28880,2018,AUD,australia,6230,71673,y,8,10
Fiat Ducato,15773,2021,AUD,australia,2300,72840,n,321,12
Toyota Hiace,34856,2017,AUD,australia,4700,91171,n,103,6
Hymer Aktiv,58837,2021,AUD,australia,2830,56340,y,299,4
Fiat Ducato,11568,2015,AUD,australia,7000,59086,y,88,2
Chevrolet Express,53687,2019,AUD,australia,4870,67832,y,40,13
Mercedes-Benz Sprinter,49009,2023,AUD,australia,4350,68188,y,266,10
Mercedes-Benz Sprinter,26375,2015,AUD,australia,2000,71728,y,256,2
Chevrolet Express,54756,2021,AUD,australia,2300,95546,y,148,2
Volkswagen California,14532,2017,AUD,australia,4551,60047,n,4,5
Hymer Aktiv,22758,2021,AUD,australia,4551,95099,n,5,8
Toyota Hiace,42972,2020,AUD,australia,4655,72248,n,73,6
Mercedes-Benz Sprinter,12393,2016,AUD,australia,2640,72747,y,283,7
Hymer Aktiv,36280,2018,AUD,australia,3500,64673,y,63,7
Volkswagen California,38732,2016,AUD,australia,6000,68389,y,344,13
Chevrolet Express,24413,2018,AUD,australia,2450,74978,y,170,13
Volkswagen California,52725,2016,AUD,australia,4000,65674,y,270,9
Chevrolet Express,35478,2025,AUD,australia,5000,95372,n,130,7
Volkswagen California,47918,2016,AUD,australia,2640,90870,y,195,2
Toyota Hiace,10649,2024,AUD,australia,4000,57329,n,253,8
Volkswagen Westfalia,58019,2016,AUD,australia,4000,70377,y,170,4
Dodge Ram Promaster,41840,2015,AUD,australia,3000,88035,n,252,10
Hymer Aktiv,46976,2017,AUD,australia,2600,59122,n,350,5
Dodge Ram Promaster,21567,2023,AUD,australia,4000,81863,n,238,11
Dodge Ram Promaster,56769,2016,AUD,australia,2830,85752,n,284,7
Hymer Aktiv,40993,2015,AUD,australia,4350,66734,n,175,8
Chevrolet Express,34797,2025,AUD,australia,7000,83290,y,275,12
Ford Transit,43028,2016,AUD,australia,4551,54131,n,311,10
Chevrolet Express,33704,2016,AUD,australia,2000,66472,n,189,11
Dodge Ram Promaster,26027,2025,AUD,australia,3630,77360,n,112,7
Ford Transit,28156,2023,AUD,australia,4217,85845,n,142,9
Toyota Hiace,51921,2017,AUD,australia,3350,57945,y,211,10
Chevrolet Express,59322,2025,AUD,australia,4670,83764,n,1,13
Nissan NV200,50693,2017,AUD,australia,3220,57396,y,135,5
Chevrolet Express,47625,2018,AUD,australia,3550,69997,n,245,1
Volkswagen Westfalia,16730,2020,AUD,australia,2830,71964,y,271,3
Chevrolet Express,50498,2024,AUD,australia,7250,99542,y,154,1
Fiat Ducato,11466,2019,AUD,australia,2450,97794,n,317,2
Volkswagen Westfalia,46926,2024,AUD,australia,3550,60850,y,144,2
Nissan NV200,46463,2022,AUD,australia,3630,66565,n,327,5
Toyota Hiace,31203,2021,AUD,australia,2500,63346,n,159,5
Hymer Aktiv,41878,2025,AUD,australia,7250,62492,n,9,3
Volkswagen California,46213,2017,AUD,australia,4350,89981,n,142,12
Mercedes-Benz Sprinter,16704,2021,AUD,australia,2300,70256,y,51,1
Fiat Ducato,37892,2015,AUD,australia,4551,55929,n,282,5
Volkswagen Westfalia,38008,2021,AUD,australia,3220,97178,y,283,6
Volkswagen Westfalia,53575,2021,AUD,australia,4000,95260,n,27,11
Hymer Aktiv,30487,2019,AUD,australia,3220,58313,y,2,5
Fiat Ducato,17643,2015,AUD,australia,4655,56167,n,104,4
Mercedes-Benz Sprinter,17234,2025,AUD,australia,4740,72500,y,38,7
Ford Transit,16250,2022,AUD,australia,4740,69261,n,250,11
Volkswagen California,29497,2024,AUD,australia,2450,80786,y,249,8
Ford Transit,54970,2015,AUD,australia,4700,93669,n,238,4
Chevrolet Express,43455,2018,AUD,australia,2600,98529,y,85,4
Dodge Ram Promaster,47342,2022,AUD,australia,6000,60025,n,348,5
Hymer Aktiv,59299,2024,AUD,australia,2000,70274,y,351,3
Nissan NV200,47198,2022,AUD,australia,4551,84293,y,185,6
Fiat Ducato,40890,2017,AUD,australia,7250,61135,n,18,1
Volkswagen Westfalia,38464,2015,AUD,australia,4810,84605,n,137,11
Fiat Ducato,21538,2016,AUD,australia,2640,71826,y,146,4
Nissan NV200,55837,2020,AUD,australia,2000,95123,y,201,8
Hymer Aktiv,42178,2023,AUD,australia,3000,91765,y,249,9
Nissan NV200,57665,2019,AUD,australia,3220,88524,n,186,8
Nissan NV200,59065,2025,AUD,australia,4217,66848,n,196,4
Mercedes-Benz Sprinter,47880,2023,AUD,australia,7000,65775,n,169,11
Toyota Hiace,49069,2023,AUD,australia,3220,99975,y,296,5
Dodge Ram Promaster,37951,2021,AUD,australia,3350,85385,n,3,1
Fiat Ducato,25423,2024,AUD,australia,4670,86244,n,58,2
Toyota Hiace,35764,2022,AUD,australia,2000,83960,n,182,4
Volkswagen Westfalia,28577,2019,AUD,australia,2000,93898,y,202,7
Volkswagen Westfalia,33155,2018,AUD,australia,5000,50236,n,208,11
Volkswagen Westfalia,22063,2016,AUD,australia,4870,53824,n,165,6
Ford Transit,54290,2020,AUD,australia,5000,94232,y,92,2
Nissan NV200,58457,2020,AUD,australia,3500,55307,y,244,13
Ford Transit,18616,2017,AUD,australia,3500,93195,y,133,9
Nissan NV200,32774,2025,AUD,australia,2640,81031,y,206,13
Fiat Ducato,11490,2025,AUD,australia,3500,50569,n,146,1
Dodge Ram Promaster,53942,2024,AUD,australia,4350,98109,y,126,1
Hymer Aktiv,52146,2016,AUD,australia,2830,70472,n,212,6
Hymer Aktiv,29554,2016,AUD,australia,3630,52712,n,358,12
Chevrolet Express,21685,2015,AUD,australia,7250,81113,n,347,7
Dodge Ram Promaster,35504,2021,AUD,australia,3000,97795,y,187,12
Chevrolet Express,18872,2024,AUD,australia,6000,92564,y,224,12
Chevrolet Express,48219,2019,AUD,australia,4000,77143,y,120,2
Fiat Ducato,59490,2018,AUD,australia,3350,54493,n,362,4
Volkswagen California,33153,2018,AUD,australia,3350,80991,n,303,4
Toyota Hiace,25320,2025,AUD,australia,4350,52524,n,37,13
Toyota Hiace,30674,2019,AUD,australia,2500,93363,n,120,2
Dodge Ram Promaster,59460,2022,AUD,australia,3500,66433,n,272,1
Chevrolet Express,29474,2017,AUD,australia,6230,69334,y,190,1
Toyota Hiace,17206,2021,AUD,australia,7250,50130,y,132,5
Mercedes-Benz Sprinter,44840,2016,AUD,australia,4810,93539,y,320,3
Volkswagen Westfalia,23338,2016,AUD,australia,4655,81455,y,197,2
Volkswagen Westfalia,25997,2018,AUD,australia,4670,61441,n,4,9
Nissan NV200,23127,2019,AUD,australia,4670,93536,y,157,1
Ford Transit,49934,2018,AUD,australia,3350,57779,n,12,2
Volkswagen Westfalia,25610,2024,AUD,australia,4810,50751,n,221,2
Dodge Ram Promaster,48731,2024,AUD,australia,2650,55902,y,202,13
Ford Transit,52183,2018,AUD,australia,4551,51760,n,16,10
Dodge Ram Promaster,51534,2020,AUD,australia,4551,92929,y,107,3
Volkswagen California,26925,2019,AUD,australia,7250,87847,n,79,13
Volkswagen Westfalia,29678,2018,AUD,australia,7250,65189,n,82,1
Nissan NV200,48758,2015,AUD,australia,4810,95653,y,173,4
Hymer Aktiv,29182,2015,AUD,australia,7000,78944,y,158,10
Chevrolet Express,33625,2019,AUD,australia,3350,80625,n,85,13
Fiat Ducato,48816,2023,AUD,australia,4551,93780,y,206,13
Ford Transit,17398,2017,AUD,australia,4700,65879,n,339,5
Hymer Aktiv,24689,2015,AUD,australia,6000,64742,n,181,10
Ford Transit,59575,2018,AUD,australia,7250,53100,n,247,9
Fiat Ducato,36860,2015,AUD,australia,3500,57390,n,175,3
Dodge Ram Promaster,32752,2023,AUD,australia,4350,72080,y,275,2
Nissan NV200,24765,2018,AUD,australia,4810,79682,y,268,10
Chevrolet Express,46568,2017,AUD,australia,7000,89711,n,187,4
Fiat Ducato,58071,2021,AUD,australia,2500,61451,n,119,4
Volkswagen California,20495,2020,AUD,australia,3550,85793,y,210,3
Nissan NV200,38835,2016,AUD,australia,4350,72979,n,110,11
Dodge Ram Promaster,24864,2020,AUD,australia,2450,96810,y,185,3
Volkswagen California,57506,2015,AUD,australia,4810,86424,n,358,5
Nissan NV200,25885,2016,AUD,australia,3630,65531,n,183,11
Fiat Ducato,13957,2019,AUD,australia,6000,67526,n,13,12
Ford Transit,21459,2025,AUD,australia,6000,67909,n,137,4
Toyota Hiace,48521,2021,AUD,australia,4350,67778,y,270,8
Nissan NV200,38510,2021,AUD,australia,3550,71350,y,285,4
Mercedes-Benz Sprinter,48569,2025,AUD,australia,2650,54662,n,36,6
Volkswagen California,22109,2025,AUD,australia,4810,87202,n,333,8
Volkswagen Westfalia,32101,2025,AUD,australia,2600,96233,n,82,2
Dodge Ram Promaster,21803,2017,AUD,australia,3350,95740,n,212,3
Nissan NV200,31764,2019,AUD,australia,3220,89948,y,47,2
Fiat Ducato,21708,2017,AUD,australia,2450,66305,n,161,8
Volkswagen Westfalia,53080,2021,AUD,australia,6230,56598,n,6,8
Ford Transit,30930,2023,AUD,australia,3220,54374,y,305,3
Volkswagen Westfalia,41962,2019,AUD,australia,4655,52000,n,197,9
Ford Transit,50942,2019,AUD,australia,4870,78339,n,180,4
Volkswagen Westfalia,22670,2022,AUD,australia,4740,52324,n,234,12
Toyota Hiace,10903,2024,AUD,australia,4000,68554,y,16,13
Volkswagen California,28488,2015,AUD,australia,4740,57053,n,44,7
Mercedes-Benz Sprinter,17813,2023,AUD,australia,4810,80005,n,151,6
Dodge Ram Promaster,58050,2024,AUD,australia,4700,68373,n,156,5
Nissan NV200,19365,2023,AUD,australia,3630,57687,y,20,12
Volkswagen California,30473,2016,AUD,australia,3630,69178,n,147,4
Dodge Ram Promaster,48210,2021,AUD,australia,4000,87679,n,300,10
Dodge Ram Promaster,36581,2017,AUD,australia,3350,95082,y,181,11
Fiat Ducato,41847,2015,AUD,australia,4810,94475,y,216,1
Volkswagen California,19844,2021,AUD,australia,3550,77986,n,21,10
Mercedes-Benz Sprinter,57623,2021,AUD,australia,3500,58074,n,275,3
Volkswagen California,38828,2016,AUD,australia,4551,63742,n,250,10
Mercedes-Benz Sprinter,27795,2023,AUD,australia,4810,80377,y,326,10
Nissan NV200,47826,2016,AUD,australia,4810,59216,n,281,1
Nissan NV200,37013,2016,AUD,australia,3350,85756,y,63,9
Fiat Ducato,23181,2022,AUD,australia,3550,67002,y,170,7
Volkswagen California,18491,2017,AUD,australia,6000,63753,y,286,3
Hymer Aktiv,50573,2022,AUD,australia,4700,56264,y,48,1
Mercedes-Benz Sprinter,54504,2016,AUD,australia,2450,58604,y,133,7
Chevrolet Express,14190,2021,AUD,australia,2640,59757,n,151,8
Volkswagen California,51686,2016,AUD,australia,4810,55511,n,145,4
Fiat Ducato,43634,2022,AUD,australia,4810,94376,n,73,2
Nissan NV200,22492,2023,AUD,australia,6000,92343,y,232,1
Dodge Ram Promaster,40722,2016,AUD,australia,2450,66755,y,239,8
Volkswagen Westfalia,25987,2021,AUD,australia,3000,96425,n,203,6
Mercedes-Benz Sprinter,42897,2025,AUD,australia,2500,77527,y,304,5
Volkswagen Westfalia,14681,2015,AUD,australia,4670,78690,n,302,1
Chevrolet Express,56535,2019,AUD,australia,3500,83334,y,192,8
Mercedes-Benz Sprinter,27813,2024,AUD,australia,4350,84606,n,293,4
Chevrolet Express,13985,2016,AUD,australia,3350,82127,n,296,11
Volkswagen California,47538,2018,AUD,australia,2600,85430,n,105,6
Volkswagen California,54974,2015,AUD,australia,3630,73040,n,300,6
Ford Transit,20454,2019,AUD,australia,3500,80471,y,62,10
Chevrolet Express,18034,2025,AUD,australia,3000,82993,y,187,8
Nissan NV200,54238,2018,AUD,australia,4700,81184,y,37,6
Volkswagen California,41659,2025,AUD,australia,2300,96930,y,310,2
Volkswagen California,24572,2025,AUD,australia,5000,81710,y,80,11
Toyota Hiace,50002,2024,AUD,australia,2000,70482,y,98,6
Mercedes-Benz Sprinter,18973,2016,AUD,australia,2600,96232,n,77,13
Chevrolet Express,56600,2018,AUD,australia,4670,95404,n,263,3
Hymer Aktiv,27066,2022,AUD,australia,3630,74728,y,334,7
Volkswagen California,55643,2016,AUD,australia,4217,85558,y,114,1
Hymer Aktiv,55617,2025,AUD,australia,4700,64428,y,122,4
Mercedes-Benz Sprinter,19653,2019,AUD,australia,2300,84138,y,192,11
Volkswagen Westfalia,44146,2015,AUD,australia,3500,77940,y,34,6
Toyota Hiace,12590,2015,AUD,australia,2500,62886,y,342,3
Fiat Ducato,49747,2020,AUD,australia,7000,82732,y,180,12
Dodge Ram Promaster,33258,2022,AUD,australia,2500,78068,n,247,11
Volkswagen California,29586,2025,AUD,australia,3350,86515,n,166,2
Chevrolet Express,34826,2019,AUD,australia,4810,65540,y,77,1
Chevrolet Express,46698,2023,AUD,australia,4655,51050,y,47,10
Volkswagen California,38782,2018,AUD,australia,5000,95620,n,198,12
Hymer Aktiv,17205,2020,AUD,australia,4870,59007,y,152,7
Nissan NV200,25789,2022,AUD,australia,4000,82794,y,347,3
Chevrolet Express,56131,2023,AUD,australia,2640,92339,y,191,6
Toyota Hiace,34961,2015,AUD,australia,4000,56836,n,254,3
Dodge Ram Promaster,57799,2017,AUD,australia,3350,97334,y,95,12
Ford Transit,50882,2015,AUD,australia,2830,76875,n,336,7
Volkswagen California,52481,2017,AUD,australia,4655,61268,y,326,13
Nissan NV200,52163,2024,AUD,australia,4700,90888,n,79,6
Mercedes-Benz Sprinter,31420,2018,AUD,australia,2000,59496,n,95,12
Ford Transit,23365,2022,AUD,australia,6230,87624,y,179,2
Volkswagen California,48436,2015,AUD,australia,4870,59046,n,289,2
Mercedes-Benz Sprinter,56070,2017,AUD,australia,7250,91616,n,263,10
Hymer Aktiv,38015,2022,AUD,australia,3000,94383,n,23,3
Mercedes-Benz Sprinter,25365,2017,AUD,australia,3500,58754,n,320,7
Chevrolet Express,44428,2016,AUD,australia,7250,84179,n,291,9
Dodge Ram Promaster,30763,2016,AUD,australia,3000,78174,y,349,7
Toyota Hiace,59003,2021,AUD,australia,4000,57227,y,328,2
Volkswagen California,42447,2016,AUD,australia,3000,90004,n,258,2
Hymer Aktiv,36263,2023,AUD,australia,4000,94211,y,135,11
Chevrolet Express,21541,2021,AUD,australia,2500,91093,n,308,3
Volkswagen Westfalia,40718,2024,AUD,australia,2600,50416,n,116,4
Fiat Ducato,19012,2021,AUD,australia,4670,69703,n,251,8
Toyota Hiace,17074,2018,AUD,australia,3000,72600,y,141,7
Nissan NV200,48208,2025,AUD,australia,2000,60006,y,328,6
Volkswagen Westfalia,19871,2017,AUD,australia,2000,64766,n,265,4
Toyota Hiace,45367,2019,AUD,australia,3550,55088,n,200,1
Mercedes-Benz Sprinter,25980,2023,AUD,australia,6000,80138,y,66,3
Nissan NV200,37569,2015,AUD,australia,7000,71989,n,340,4
Toyota Hiace,12229,2018,AUD,australia,6230,79623,n,100,11
Hymer Aktiv,43481,2017,AUD,australia,2500,98097,n,352,2
Mercedes-Benz Sprinter,27619,2016,AUD,australia,2830,69836,n,142,12
Fiat Ducato,22750,2016,AUD,australia,4655,93770,y,186,13
Hymer Aktiv,18439,2015,AUD,australia,4350,90751,n,195,11
Volkswagen Westfalia,45464,2019,AUD,australia,2640,83172,y,72,10
Volkswagen Westfalia,26460,2025,AUD,australia,4670,61860,y,195,6
Nissan NV200,45169,2017,AUD,australia,7000,99574,n,77,7
Volkswagen Westfalia,21091,2017,AUD,australia,3220,84071,y,6,4
Hymer Aktiv,38566,2019,AUD,australia,3220,98558,y,85,2
Fiat Ducato,24420,2022,AUD,australia,5000,66350,y,343,3
Nissan NV200,41309,2025,AUD,australia,5000,54957,y,258,1
Volkswagen Westfalia,58816,2023,AUD,australia,2600,92219,y,155,11
Hymer Aktiv,59582,2025,AUD,australia,6000,54557,y,138,4
Fiat Ducato,51797,2017,AUD,australia,4217,75504,y,111,2
Toyota Hiace,56839,2021,AUD,australia,2600,94440,n,106,10
Hymer Aktiv,56203,2015,AUD,australia,4217,67231,y,63,11
Volkswagen Westfalia,32046,2019,AUD,australia,3220,95743,y,4,12
Toyota Hiace,37795,2024,AUD,australia,4670,50299,y,277,12
Fiat Ducato,21291,2021,AUD,australia,4740,86112,y,176,13
Dodge Ram Promaster,38120,2018,AUD,australia,2000,96299,n,208,2
Chevrolet Express,28432,2023,AUD,australia,2640,61086,n,93,10
Fiat Ducato,24261,2016,AUD,australia,6000,59056,y,16,2
Volkswagen California,10330,2022,AUD,australia,4810,59851,y,5,4
Hymer Aktiv,36216,2023,AUD,australia,4870,63902,n,54,11
Fiat Ducato,26345,2017,AUD,australia,4655,59519,n,272,8
Chevrolet Express,58762,2017,AUD,australia,4551,57195,n,283,6
Toyota Hiace,55674,2016,AUD,australia,2500,73239,y,324,5
Fiat Ducato,59163,2019,AUD,australia,4700,91016,n,284,7
Volkswagen Westfalia,26059,2015,AUD,australia,2500,63886,n,301,7
Ford Transit,11516,2017,AUD,australia,3350,51619,y,110,12
Volkswagen Westfalia,56371,2019,AUD,australia,4000,92922,n,150,5
Volkswagen California,41702,2015,AUD,australia,4700,98973,n,195,3
Nissan NV200,46959,2024,AUD,australia,3000,79907,y,24,5
Chevrolet Express,23201,2015,AUD,australia,7000,52741,y,73,13
Volkswagen Westfalia,41278,2016,AUD,australia,7000,92405,y,170,2
Hymer Aktiv,20876,2015,AUD,australia,2300,85808,y,233,7
Fiat Ducato,40555,2021,AUD,australia,2000,55780,n,136,8
Chevrolet Express,25640,2018,AUD,australia,6230,87484,y,240,6
Dodge Ram Promaster,27882,2022,AUD,australia,3550,55620,y,110,9
Ford Transit,44547,2024,AUD,australia,6000,96439,n,152,4
Nissan NV200,17555,2015,AUD,australia,5000,51286,y,159,5
Dodge Ram Promaster,53194,2017,AUD,australia,7250,81740,n,75,13
Ford Transit,20612,2022,AUD,australia,4655,92903,n,115,13
Dodge Ram Promaster,10509,2024,AUD,australia,2650,72672,n,120,8
Chevrolet Express,29949,2022,AUD,australia,4870,78822,y,183,13
Nissan NV200,42706,2015,AUD,australia,3630,94497,n,240,13
Mercedes-Benz Sprinter,22178,2021,AUD,australia,4700,77996,y,172,5
Toyota Hiace,36576,2025,AUD,australia,2640,78104,y,53,4
Toyota Hiace,37176,2015,AUD,australia,3630,79131,n,159,10
Hymer Aktiv,16830,2022,AUD,australia,2640,88297,y,198,12
Nissan NV200,46804,2025,AUD,australia,5000,53643,y,189,6
Mercedes-Benz Sprinter,21025,2021,AUD,australia,6000,77115,n,305,12
Hymer Aktiv,48676,2015,AUD,australia,2640,99272,y,18,3
Mercedes-Benz Sprinter,19207,2018,AUD,australia,4810,81653,n,179,8
Volkswagen Westfalia,55113,2024,AUD,australia,2600,76681,y,167,7
Nissan NV200,46937,2023,AUD,australia,4000,89878,n,299,10
Nissan NV200,36129,2015,AUD,australia,2300,77059,y,77,5
Hymer Aktiv,36370,2021,AUD,australia,4740,63286,n,155,1
Volkswagen California,17906,2019,AUD,australia,4740,58742,y,305,11
Toyota Hiace,28888,2021,AUD,australia,2500,76782,y,351,9
Ford Transit,11218,2021,AUD,australia,2600,76748,n,242,12
Hymer Aktiv,45650,2019,AUD,australia,7000,89281,n,213,6
Hymer Aktiv,15011,2022,AUD,australia,4810,67737,y,67,2
Fiat Ducato,22635,2015,AUD,australia,4000,73012,y,306,7
Dodge Ram Promaster,12324,2016,AUD,australia,7000,61724,n,194,1
Toyota Hiace,29203,2019,AUD,australia,2640,76397,y,69,10
Chevrolet Express,40101,2015,AUD,australia,7250,62928,y,170,2
Volkswagen Westfalia,20976,2016,AUD,australia,2450,78281,n,10,4
Ford Transit,54262,2015,AUD,australia,2500,97760,n,311,12
Hymer Aktiv,11970,2018,AUD,australia,3630,58755,y,328,8
